Point A,Point B,Point C,Point D,Point E,Error Classification
"0.2807019358965,0.4244344252102","0.4211343666572,0.4556416320459","0.5366010319493,0.4275551458938","0.8549145416735,0.4181929838431","0.6801541833936,0.4244344252102",A
"0.5256835405573,0.2245299934992","0.1309621903588,0.5303057532548","0.2802085009625,0.1866406978221","0.2249766170537,0.616222017113","0.2679347489828,0.8739708086875",B
"0.3218181818182,0.41","0.3872727272727,0.81","0.8963636363636,0.3554545454545","0.4236363636364,0.3918181818182","0.8781818181818,0.6463636363636",A
"0.587052300456,0.2490774974587","0.6729685643142,0.0588343417727","0.8754854719799,0.2541463337106","0.6545579363446,0.5978113891433","0.7834323321318,0.9107920646267",B
"0.3148,0.3020909090909","0.3144,0.1093090909091","0.8963636363636,0.3554545454545","0.3792,0.2545090909091","0.8874,0.2778909090909",A
"0.6568924626906,0.9106327291667","0.4948789365581,0.6878641307344","0.77840260729,0.4988483502464","0.4543755550249,0.2423269338698","0.6231396447463,0.1005650985038",B
"0.8997328532321,0.8513263518145","0.5536123939174,0.413702782566","0.8082297432983,0.8911103126553","0.4621092839836,0.564881833761","0.4,0.4",C
"0.1677079737619,0.9229374813279","0.1279240129211,0.6882121123674","0.2989950445364,0.5489682494247","0.1120104285848,0.2824157117915","0.17566476593,0.0556471349991",B
"0.3874,0.2061090909091","0.0486,0.5691090909091","0.3628,0.0609090909091","0.0888,0.5691090909091","0.807,0.2545090909091",A
"0.5536123939174,0.5290762690043","0.5058716409084,0.4455299512386","0.6252235234308,0.4733787238272","0.6968346529441,0.6245577750221","0.6252235234308,0.5370330611724",E
"0.7286618216168,0.9666998382528","0.8798408728117,0.8035855988056","0.8,0.6","0.6132883351785,0.3460700491367","0.6132883351785,0.3460700491367",B
"0.3874,0.2061090909091","0.1208,0.5198909090909","0.3628,0.0609090909091","0.4276,0.3988909090909","0.6134,0.4956909090909",A
"0.9196248336525,0.8672399361508","0.1159888246689,0.2784373157074","0.8281217237187,0.7757368262171","0.9275816258206,0.7399312614604","0.0642696755759,0.3699404256412",C
"0.517,0.3755090909091","0.549,0.5682909090909","0.517,0.3755090909091","0.6134,0.4956909090909","0.1454,0.7376909090909",A
"0.5536123939174,0.5290762690043","0.688877860776,0.465421931659","0.6411371077671,0.5091842885839","0.8201649315505,0.5290762690043","0.7286618216168,0.5211194768361",E
"0.7343373242129,0.1682300698525","0.163607857155,0.2306668694891","0.3599878888308,0.0393556740652","0.1800571982777,0.18770873756","0.9471666970115,0.3902256452257",A
"0.533720413497,0.5290762690043","0.9236032297365,0.0994094919239","0.5735043743377,0.9468078578324","0.0921184481644,0.6802553201992","0.4621092839836,0.0954310958399",D
"0.6545579363446,0.2736250014182","0.0654178413171,0.1263399776613","0.3599878888308,0.0393556740652","0.3703003539637,0.0577663020348","0.8796610611229,0.1938456135499",A
"0.2830814602001,0.2744589196233","0.4,0.2","0.3109302327887,0.1988693940259","0.3507141936294,0.2505885431189","0.3467357975453,0.155107037101",E
"0.8400569119709,0.9030455009075","0.6610290881874,0.7319744692922","0.9076896454002,0.6086441906858","0.7286618216168,0.4495083473227","0.9355384179888,0.1511286410169",B
"0.8997328532321,0.517141080752","0.8758624767276,0.6325145671903","0.8758624767276,0.6325145671903","0.4461956996473,0.8274559753101","0.4103901348906,0.7160608849559",C
"0.3109302327887,0.9627214421687","0.4660876800677,0.8354127674782","0.2,0.6","0.482001264404,0.3977891982297","0.2472758954434,0.0914526997558",B
"0.2592110836956,0.9308942734961","0.1597511815937,0.7916504105534","0.2592110836956,0.6006873985177","0.330822213209,0.2306965626985","0.1637295776778,0.4415515551546",B
"0.8599488923913,0.6762769241151","0.8002729511302,0.2863941078756","0.378562966218,0.9030455009075","0.1836215580982,0.6484281515266","0.9076896454002,0.6524065476107",D
"0.2004291130942,0.2858987533979","0.0389090505107,0.0772449697423","0.4213566487295,0.1017924737018","0.3334790980245,0.1938456135499","0.7078285334065,0.2920356293878",A
"0.7127482372805,0.8950887087394","0.7644673863735,0.7797152223011","0.8400569119709,0.9110022930757","0.7803809707098,0.8433695596464","0.688877860776,0.823477579226",E
"0.4780228683199,0.7001473006196","0.2631894797797,0.1113446801762","0.947473606241,0.8990671048235","0.6,0.6","0.1319024090052,0.1511286410169",D
"0.5774827704218,0.6802553201992","0.8400569119709,0.2665021274552","0.4501740957314,0.568860229845","0.8,0.4","0.7127482372805,0.2744589196233",C
"0.3845353927903,0.279761877408","0.1616465703081,0.1805038218322","0.7711585801521,0.1927775738119","0.6587335254876,0.4443894893966","0.9410298210216,0.1927775738119",A
"0.5138284330766,0.5807954180973","0.6,0.6","0.5655475821696,0.6563849436947","0.6172667312626,0.7359528653763","0.4740444722358,0.6762769241151",E
"0.9554303984092,0.513162684668","0.072226467744,0.6285361711062","0.9355384179888,0.6006873985177","0.8281217237187,0.5609034376769","0.1120104285848,0.7399312614604",C
"0.6848994646919,0.2625237313711","0.2,0.8","0.2950166484523,0.7598232418807","0.8161865354665,0.1670422253532","0.3387790053772,0.8990671048235",C
"0.5456556017492,0.6325145671903","0.5933963547581,0.4972491003317","0.6,0.6","0.5615691860855,0.5489682494247","0.6212451273467,0.5449898533406",E
"0.9713439827455,0.7558448457967","0.5058716409084,0.1710206214373","0.9076896454002,0.8035855988056","0.8997328532321,0.6444497554425","0.4422173035632,0.2306965626985",C
"0.223405518939,0.9030455009075","0.1875999541823,0.5569250415928","0.9355384179888,0.0755391154195","0.9355384179888,0.0755391154195","0.7684457824575,0.6484281515266",D
"0.4780228683199,0.2665021274552","0.5735043743377,0.1670422253532","0.58543956259,0.2824157117915","0.5138284330766,0.206826186194","0.5615691860855,0.2267181666144",E
"0.6292019195148,0.8632615400668","0.2910382523683,0.1869342057736","0.4899580565721,0.8115423909738","0.2353407071912,0.2267181666144","0.5973747508422,0.7478880536285",C
"0.0921184481644,0.5887522102654","0.0881400520803,0.4574651394909","0.1438375972574,0.5370330611724","0.0881400520803,0.5250978729202","0.0523344873236,0.5967090024336",E
"0.8519921002232,0.8553047478986","0.2353407071912,0.2346749587826","0.7883377628779,0.7359528653763","0.2631894797797,0.3142428804641","0.8599488923913,0.6762769241151",C
"0.330822213209,0.7598232418807","0.8519921002232,0.0954310958399","0.1995351424345,0.3580052373889","0.6689858803556,0.978635026505","0.5058716409084,0.1471502449329",D
"0.4899580565721,0.7836936183852","0.9793007749136,0.2346749587826","0.8082297432983,0.9189590852438","0.227383915023,0.5330546650883","0.6172667312626,0.2903725039596",D
"0.275124668032,0.7359528653763","0.0563128834077,0.0994094919239","0.6729642764397,0.2426317509507","0.9434952101569,0.7359528653763","0.9156464375684,0.9030455009075",D
"0.2353407071912,0.9070238969916","0.123945616837,0.2863941078756","0.6769426725238,0.103387888008","0.8838192688958,0.5410114572565","0.6689858803556,0.9030455009075",D
"0.7525321981212,0.5569250415928","0.7843593667938,0.5250978729202","0.8,0.6","0.7047914451123,0.517141080752","0.7604889902894,0.4733787238272",E
"0.1998083339983,0.4918895624007","0.3339055170601,0.7293075258545","0.5581335936553,0.6105985441276","0.7076189780521,0.8106451614821","0.7604889902894,0.4733787238272",A
"0.7076189780521,0.8106451614821","0.3339055170601,0.7293075258545","0.5581335936553,0.6105985441276","0.7076189780521,0.8106451614821","0.7604889902894,0.4733787238272",A
"0.7076189780521,0.8106451614821","0.3295088881072,0.5446491098349","0.5581335936553,0.6105985441276","0.7076189780521,0.8106451614821","0.7604889902894,0.4733787238272",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.551538650226,0.8985777405391","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.6922307767171,0.7908603311943","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.4680027001219,0.7798687588122","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.5009774172683,0.6963328087081","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.5119689896504,0.6501682047032","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.4987791027918,0.5908137138398","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.5163656186032,0.555640682217","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.5119689896504,0.5006828203064","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.494382473839,0.456716530778","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.6174880845187,0.5336575374528","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.6834375188114,0.6149951730805","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.3536903473479,0.6787462928967","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.5207622475561,0.6875395508024","0.1866184471397,0.5270625940235","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.4989625239623,0.6960542888762","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.4798899236996,0.7127428141061","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.4322084230429,0.7222791142374","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.415519897813,0.7198950392046","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.3988313725832,0.7222791142374","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.372606547222,0.7222791142374","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.343997646828,0.7222791142374","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.3344613466966,0.7246631892702","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.3010842962369,0.7318154143688","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2748594708758,0.7341994894016","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2534027955802,0.7175109641717","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2486346455146,0.684133913712","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2557868706131,0.6674453884822","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2438664954489,0.6745976135807","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2247938951862,0.6984383639091","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2224098201534,0.669829463515","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.1914168447265,0.6579090883509","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.1771123945295,0.6579090883509","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.155655719234,0.6459887131867","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.1675760943982,0.626916112924","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.1408673044829,0.1258972913279","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.140544106715,0.1077458182365","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.1644767075619,0.1062017794722","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2123419092556,0.14480274858","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2378185488669,0.1571550586946","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.25325893651,0.1355385159942","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2609791303316,0.120098128351","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2540309558922,0.1092898570008","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2355024907204,0.0938494693576","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2154299867843,0.0838132173896","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2200621030772,0.0382640738423","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.0504713184655,0.0383432949586","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.1712784424003,0.3610472561544","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.240292788284,0.1697166614429","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.300119573659,0.1248465724116","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.3629376983028,0.1098898760678","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.4078077873341,0.0769851441116","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.5095133224717,0.0829678226491","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.4556692156342,0.0500630906928","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.5364353758905,0.1188638938741","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.5633574293093,0.0620284477678","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.4407125192904,0.3821017495243","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.4,0.2","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.4,0.25565555","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.56,0.86","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.58,0.86","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.5876092283394,0.8682983403264","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.5882593527361,0.8897524454191","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6058127114483,0.878375268476","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6731005865116,0.834816933894","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.7144810043646,0.8446988247245","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.7244929200745,0.8847464875641","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.7463045935853,0.8693710455811","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.7888552353524,0.8951159716923","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.8131698877908,0.9208608978034","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.7159112780374,0.9272971293312","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.72,0.88","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.72,0.86","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.7087599096732,0.9530420554424","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6721122320832,0.8147392544316","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.7051034707818,0.7844972856245","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.8205728062271,0.7432582372512","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.8508147750342,0.6882728394201","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.5813863256619,0.6855235695286","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.5318994676139,0.6497830609384","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6,0.6","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6528673428423,0.5920483932157","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.8095757266609,0.6360367114806","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.4714155299997,0.6415352512637","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.562141436421,0.5865498534326","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6886078514325,0.7185148082272","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.7958293772031,0.8944680812867","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6226253740352,0.831234873781","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6253746439268,0.608544012565","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.7628381385045,0.6387859813721","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.938791411564,0.6800250297455","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.562141436421,0.5920483932157","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.4934096891321,0.7625031264921","0.7663955617251,0.8980862412697",C
